"serial_no","colour reading","mono reading"
"W492K502258",566267,540010
"G656J800110",0,0
"S7513800009",87224,149203
"W301870234",0,116188
"W3068502113",0,104725
"S7504800036",36076,216948
"W3029311021",0,105005
"G146JA00092",0,946711
"V9724601115",149121,304190
"W3068502088",0,208350
"V5N6101247",0,75691
"W3018700293",0,188548
"G156P600069",0,976275
"W912PB06771",0,347512
"E744KA50310",0,461346
"E336M320702",0,85439
"E336M920249",0,425810
"W3069101597",0,96028
"V4408502465",0,186515
"V4499100835",0,0
"G476M930368",17460,53999
"G656JA00080",0,3333996
"G445P600132",21616,140656
"E333M120229",0,430490
"E336M920839",0,430507
"L7026260763",0,289097
"W3078500071",0,226262
"W3078500075",0,126014
"K2168903731",0,98953
"G476M930217",201563,107845
"G476M730704",60700,163982
"AK6C017704",6165,28691
"V4S5900801",0,784865
"AK69001125",0,80395
"AK71018409",18350,27715
"W3078500102",0,0
"G476M930492",22175,26816
"W3069400100",0,18436
"W3069101600",0,52017
"G656JA00097",0,1469646
"W3078500073",0,151992
"W794PB00872",28982,114629
"QUYOZ06188",0,110219
"K2149304051",0,400834
"E336MC20205",0,0
"V4408801861",0,385572
"V4489601250",0,451218
"W3069400111",0,35025
"AK55030980",0,13980
"AK68022355",0,31878
"G156P600018",0,389164
"E333M120260",0,49074
"S7334500090",3632,77370
"G475MC39033",0,0
"W796P900265",20669,117120
"E337M120471",0,16834
"W3069100468",0,310401
"G477M130376",41282,74555
"AK65032162",0,82162
"G697J400868",134065,204217
"S7214301359",106849,192417
"K2158804195",0,332749
"G477M130479",72771,104315
"VWX6Z00155",0,41436
"E337M120407",0,0
"S7334500016",115521,19783
"AK67030084",2151,14546
"E337M120459",0,410838
"W3019400459",0,266018
"W794PB00502",60544,61395
"W3019202645",0,425424
"W512JB01221",68423,75306
"G477M430442",32027,14169
"W916PB02485",0,129820
"VX27200240",0,228371
"VX27200237",0,161477
"VX27200247",0,132214
"G656JC00053",0,0
"W3018508725",0,0
"W3068600584",0,110614
"W3049400353",0,0
"W3068502087",0,214208
"W3078600542",0,60940
"W3028715907",0,281107
"W3028713761",0,0
"W3018707771",0,0
"W3028601079",0,0
"W3019411323",0,0
"S7334500074",60273,38449
"G657J600025",0,542621
"S7334500044",13797,141568
"C717R310343",153410,55852
"G156P600070",0,466951
"M0189009461",0,204119
"S7334500101",65523,397987
"C367P500121",0,288202
"V5190100004",0,4325864
"C397P100869",0,819315
"E337M620250",0,311383
"VWS7500565",10844,11609
"V5N6501519",0,0
"C717R310214",74726,881341
"G477M130356",0,0
"S7334500118",0,0
"E323MC20728",0,158629
"W542JC00107",144062,230831
"C717J701563",121597,508189
"C357J600121",0,717123
"W863JA00125",0,1254768
"VX27500525",0,73313
"M0188805897",0,0
"W3079200693",0,165332
"W3019400790",0,138236
"W3079200449",0,219736
"W3079200443",0,202561
"W3079200444",0,248426
"V6903200059",0,617435
"W914P306434",0,92007
"G656J800111",0,3049678
"W3079200447",0,191611
"E337M120474",0,187548
"W3079200741",0,40678
"W3078600543",0,25373
"W917P104563",0,190261
"C507P602719",34002,65127
"C717J701544",111437,673068
"S7214301042",42253,229430
"W3019401216",0,231552
"VWX7300607",0,44810
"V5100500054",0,5173661
"S7214101079",5322,42847
"W914P702317",0,269509
"W796PA00524",0,0
"W493K201323",305862,573792
"W542JC00109",439478,199458
"V5210400034",0,4142310
"AK69000879",0,0
"AK69000875",0,5893
"AK69000870",0,8410
"AK69000868",0,9643
"AK69000871",0,4483
"AK69000873",0,0
"AK71030679",10385,10838
"AK71030678",11705,15291
"AK71030673",0,0
"AK71030680",0,0
"W543J300377",150652,623806
"C717J701703",232612,343859
"C717J701533",217535,166282
"C717J701546",81922,31215
"W916PB02599",0,43818
"W916PA03542",0,52300
"W796PA00546",8175,50198
"W914P305690",0,0
"W3079200721",0,0
"W3079200439",0,135633
"V5N6501522",0,13841
"S7224201190",27562,17933
"W3079200411",0,92473
"V5N6501532",0,0
"V5N6501526",0,0
"V5N6501514",0,0
"E204R862285",22196,153739
"W3079200717",0,367590
"AK71020431",26576,36089
"V4408502451",0,27915
"W662K800842",0,714020
"V4409004257",0,175584
"S7214602222",26129,28407
"E337M620304",0,45139
"W3019313721",0,63257
"C767R621636",82434,255970
"C767R621485",34445,217860
"AK67025738",1562,21487
"c397p900735",0,605031
"W912PB00066",0,34529
"W662KC01127",0,156678
"VWY7800218",0,60696
"W3079400153",0,196381
"W3058800370",0,40556
"VWX6Z00118",0,28525
"C737M720440",0,0
"C387P600043",0,409400
"C387P600091",0,143378
"C357P300188",0,511846
"C357P300431",0,220277
"W1917P501165",0,135236
"C717J900442",375198,162939
"C737M720436",210288,44740
"C717J900217",368268,180847
"NVN3606993",0,7327
"C397JC00100",0,1031684
"VWX6Z00131",0,80469
"AK57048995",16676,41846
"V4499204610",0,162434
"E175J400624",90974,327758
"C767J900331",41840,10499
"C397JC00112",0,186095
"VYJ7300083",0,0
"VYJ7300080",0,49956
"E337M420879",0,118768
"W3019509591",0,63004
"E336MA20059",0,58468
"W913P903942",0,201741
"M0189603655",0,308189
"S7214301028",9659,112208
"S7224700150",1944,322292
"W3039603238",0,0
"C767R720242",60925,103909
"E337M720863",0,91004
"G477M430408",13969,49241
"E744KA50258",0,696104
"V4489601397",0,229295
"M0188511759",0,40896
"W917P300425",0,148285
"W796P400871",0,0
"E337M620332",0,80543
"S7214401451",16147,198529
"W3018707584",0,376536
"A4FM021030949",67659,100148
"W3019202354",0,17946
"W3079400148",0,146005
"W3079400146",0,263248
"W793PC04135",19795,163998
"S7223900637",0,0
"C397PC01650",0,582960
"C778J100267",93387,145267
"S7214300731",6624,51701
"VWX7300596",0,101389
"W3079300139",0,52523
"W3079300140",0,75305
"W3079300248",0,98915
"C767R720261",35603,38081
"G657J600038",0,2148245
"VWX6Z00123",0,69559
"A4FK021010078",0,0
"C397PC01936",0,560858
"W3079400063",0,0
"Y877RB10001",0,315441
"W3079300249",0,57849
"W3079300263",0,249510
"E338M120207",0,210412
"W3088500090",0,329797
"W3079300251",0,56595
"W3079400289",0,0
"VWS6Z00033",28918,41473
"VYJ7300081",0,8376
"G476M430170",46219,159473
"AK7A022805",0,114349
"W3069100462",0,358568
"W3068502106",0,290333
"W3049301306",0,285646
"W3078500033",0,246308
"W3048901636",0,357438
"W3019001029",0,197542
"E337MC21975",0,203503
"W3079300225",0,22992
"W3079300260",0,35743
"W3079300255",0,43694
"AK6C017647",16942,125726
"W3079200715",0,260632
"S7224100902",3671,37916
"W917PB00017",0,91291
"VWX6Z00122",0,12230
"C767RB21454",17874,5136
"S7223900935",9778,11138
"G7096461906",0,153532
"NVM3801650",0,235294
"C358P300224",0,677495
"A161021009912",64966,541694
"C368J100095",0,420732
"W917P300458",0,33701
"VWS6Z00001",4977,17558
"V4409012615",0,141421
"W3079500256",0,173163
"W3088600123",0,159056
"C738M225769",165192,346290
"W3029302215",0,206831
"W3019507402",0,103144
"W3039600982",0,39014
"S7224100036",139111,322564
"E337MC21998",0,187691
"W3079200660",0,124892
"W3079200676",0,201943
"M0178605144",0,233858
"V0981200175",0,2782344
"A4FM021028543",0,0
"W3079300257",0,43938
"W3079300256",0,59820
"C378P300032",0,592385
"C378P200026",0,0
"W3079200725",0,298497
"W3068502004",0,361475
"W3058604333",0,396435
"W3048901615",0,253805
"C358P300329",0,1333976
"W3079400145",0,0
"G475M830803",69407,67111
"C768J300801",67447,171331
"VYJ7300082",0,48826
"W866J200059",0,2317965
"W917P501143",0,0
"W917PC00709",0,0
"W912P505078",0,145205
"A4FM021007474",197731,446147
"W3079500248",0,237148
"W3079300259",0,163027
"G4489601331",0,232353
"C378P400085",0,303707
"S7224000148",109810,132463
"E338M421663",0,0
"AK81028088",0,48618
"G0179309436",0,26203
"E205R160944",53579,177054
"VWU8100329",0,58853
"A161021009747",104756,0
"VWX6Z00135",0,118229
"VWV7200237",0,138202
"V4489602602",0,421444
"W3079300262",0,42118
"VWY8100462",0,213765
"S7214301231",5128,10183
"C398J500083",0,367430
"S7234700156",27733,55261
"VWY8100470",0,123519
"VWY8100461",0,97112
"C398P400867",0,273418
"E324M120235",0,568106
"G078P400373",63997,50232
"W917PB00023",0,147709
"C398P501610",0,0
"VWT8300257",16425,132947
"VWY8100463",0,86961
"C768J400203",8289,64548
"VWY8100455",0,184372
"V5120700018",0,2443341
"C768R521131",90714,100665
"G078P400635",7622,5760
"E338M520984",0,253381
"W3079300264",0,142999
"W3079200685",0,81898
"VWY8400539",0,402261
"VWY8400537",0,321294
"W917PB00119",0,140953
"42345225",0,0
"W914P604220",0,10674
"A161021010218",89427,599579
"W3079300258",0,48988
"W3049400340",0,0
"W3049301282",0,0
"A5C2021032631",0,0
"S7224000155",174757,140037
"E333M821230",0,0
"E332MC92567",0,425999
"S7214401447",26838,94870
"W3049300090",0,0
"W3088900205",0,20504
"G176J700073",0,684453
"E338M620866",0,138557
"W917PB00121",0,52739
"W3049301459",0,88168
"LXZ7400114",0,104298
"E204R763244",38192,255393
